start word,end word,solution,number of words
twirler,gutters,"twirler,twiller,swiller,spiller,spaller,smaller,smalter,smatter,slatter,platter,platier,peatier,pettier,puttier,putties,puttees,putters,gutters",18
gymel,bunco,"gymel,gemel,lemel,lamel,lames,lanes,banes,bands,bando,banco,bunco",11
ill,awn,"ill,all,awl,awn",4
quarte,cholee,"quarte,quarta,cuarta,charta,charts,chares,chores,choree,cholee",9
zipa,soil,"zipa,pipa,pips,pops,pois,poil,soil",7
bot,gog,"bot,got,gog",3
fiches,mambos,"fiches,fishes,fashes,cashes,casher,casper,camper,camber,jamber,jambes,jambos,mambos",12
ppd,gam,"ppd,gpd,gad,gam",4
mam,vim,"mam,mim,vim",3
snips,recto,"snips,skips,skits,skats,seats,beats,beata,reata,recta,recto",10
summer,lurdan,"summer,hummer,hammer,harmer,warmer,wormer,worder,worden,jorden,jordan,lordan,lurdan",12
arg,ref,"arg,aug,rug,reg,ref",5
obes,hash,"obes,opes,opts,oats,hats,hath,hash",7
dents,varda,"dents,bents,bends,bands,banda,vanda,varda",7
wyle,pius,"wyle,wile,pile,pice,pics,pius",6
brooky,foamer,"brooky,brooks,brocks,frocks,flocks,flacks,flanks,flanes,flames,flamer,foamer",11
stlg,book,"stlg,stog,stot,soot,boot,book",6
reslot,seroot,"reslot,reblot,reboot,reroot,seroot",5
grade,raise,"grade,gride,pride,prise,paise,raise",6
lowed,cuber,"lowed,cowed,cored,cured,cubed,cuber",6
adagy,tizzy,"adagy,adage,arage,arase,frase,fease,mease,messe,messy,missy,mimsy,mimzy,mizzy,tizzy",14
decken,lankly,"decken,decker,dacker,darker,darkey,darkly,dankly,lankly",8
cebid,veers,"cebid,rebid,redid,reded,redes,redds,reeds,deeds,deers,veers",10
glueing,versine,"glueing,blueing,bluming,blaming,beaming,seaming,searing,serring,serging,verging,versing,versine",12
cered,banga,"cered,cared,bared,baned,banes,bangs,banga",7
vic,ozs,"vic,hic,his,hes,oes,ozs",6
jude,ense,"jude,bude,bade,base,ease,ense",6
widget,mercal,"widget,fidget,fidged,ridged,ringed,rinsed,rinser,risser,rissel,missel,missal,miscal,mescal,mercal",14
dhoti,shola,"dhoti,dhobi,dhoby,phoby,phony,phone,shone,shole,shola",9
adz,rld,"adz,add,ald,rld",4
guna,tahr,"guna,tuna,tana,taha,tahr",5
unbag,abray,"unbag,unbar,untar,antar,anear,abear,abeam,abram,abray",9
bhd,dys,"bhd,bad,dad,das,dys",5
fcy,tam,"fcy,fay,tay,tam",4
barb,atli,"barb,darb,dari,dori,doli,aoli,atli",7
upset,hooly,"upset,upsit,uplit,split,spait,spart,spary,soary,soaky,sooky,hooky,hooly",12
befop,diols,"befop,bebop,rebop,remop,remap,relap,relay,delay,delly,dilly,dills,diols",12
ald,umu,"ald,fld,flu,ulu,umu",5
yay,tri,"yay,tay,try,tri",4
haling,timias,"haling,holing,coling,colins,colias,cobias,tobias,tibias,timias",9
colon,takin,"colon,solon,salon,talon,taxon,taxin,takin",7
torse,ahmet,"torse,corse,coree,soree,siree,sired,aired,aimed,ahmed,ahmet",10
roar,oink,"roar,soar,soak,siak,sink,oink",6
nevus,spink,"nevus,neves,naves,caves,cares,carns,cains,sains,spins,spink",10
ace,cho,"ace,abe,abo,aho,cho",5
distad,embost,"distad,distal,mistal,miscal,mescal,mesial,medial,mediae,medine,aedine,andine,undine,untine,untire,unwire,unware,unwarn,unworn,unborn,unburn,unbury,anbury,ambury,ambery,ambers,embers,embars,embark,empark,emparl,empall,emball,embull,embulk,embusk,embosk,embost",37
pasch,elide,"pasch,nasch,nauch,sauch,sauce,saice,slice,slide,elide",9
pwr,sak,"pwr,par,sar,sak",4
der,hao,"der,her,heo,hao",4
sind,brum,"sind,bind,bend,bead,brad,bram,brum",7
pert,fegs,"pert,pers,fers,fegs",4
orby,welf,"orby,orly,oily,wily,wild,weld,welf",7
dod,qat,"dod,dad,dat,qat",4
sinal,jorge,"sinal,senal,seral,soral,sorel,soree,joree,jorge",8
tsp,qty,"tsp,tap,tay,tty,qty",5
dor,ure,"dor,aor,arr,are,ure",5
sps,eyl,"sps,spl,syl,eyl",4
scops,dulia,"scops,scots,soots,sorts,dorts,doris,doria,dolia,dulia",9
rhd,lai,"rhd,lhd,lad,lai",4
camay,jonas,"camay,camas,mamas,manas,monas,jonas",6
cumic,dauby,"cumic,comic,domic,doric,daric,darii,darci,darcy,darby,dauby",10
unmaid,wither,"unmaid,unlaid,uplaid,upland,uplane,upline,spline,saline,satine,satins,matins,maties,mathes,mather,wather,wither",16
sozly,undue,"sozly,sonly,songy,songs,sings,sines,sides,sider,eider,ender,under,undee,undue",13
peever,lamiid,"peever,peeved,peeked,perked,parked,carked,carped,carpid,caroid,laroid,lariid,lamiid",12
mtx,bab,"mtx,max,mab,bab",4
ogle,bike,"ogle,orle,arle,aile,bile,bike",6
bvt,vin,"bvt,bit,bin,vin",4
bsf,kai,"bsf,psf,psi,ksi,kai",5
rheae,gulph,"rheae,rheas,sheas,sheds,seeds,feeds,feels,fuels,fulls,gulls,gulps,gulph",12
bosc,bide,"bosc,bose,bise,bide",4
jus,tam,"jus,aus,aas,tas,tam",5
diag,inez,"diag,drag,krag,knag,knaw,knew,knez,inez",8
fined,enmew,"fined,dined,diner,dimer,eimer,emmer,emmew,enmew",8
cordia,clavae,"cordia,cardia,cardin,cardon,carton,canton,cantor,canter,conter,coater,crater,craver,claver,clavel,claval,clavae",16
thema,neter,"thema,trema,trama,trams,teams,terms,teres,meres,metes,meter,neter",11
yoi,gup,"yoi,goi,god,gud,gup",5
cluck,choga,"cluck,chuck,chock,choca,choga",5
fud,bus,"fud,bud,bus",3
idic,haet,"idic,udic,uric,cric,caic,laic,lait,hait,haet",9
heron,corol,"heron,heros,ceros,ceras,ceral,coral,corol",7
ish,yid,"ish,ash,aah,yah,yad,yid",6
niog,shwa,"niog,biog,brog,frog,flog,slog,shog,shoa,shwa",9
broil,griot,"broil,brool,broom,groom,groot,griot",6
sauna,pence,"sauna,sarna,sarsa,sarsi,parsi,parse,perse,pense,pence",9
dowy,lamm,"dowy,lowy,lowa,loma,lama,lamm",6
sox,gds,"sox,gox,gos,gds",4
swati,nance,"swati,swath,swith,saith,laith,laich,lanch,lance,nance",9
roods,rowdy,"roods,goods,gowds,gowdy,rowdy",5
oke,gus,"oke,ode,ods,gds,gus",5
level,fangy,"level,nevel,navel,naves,nanes,fanes,fangs,fangy",8
fasels,chunks,"fasels,easels,easers,lasers,layers,sayers,shyers,sheers,cheers,cheeks,checks,chucks,chunks",13
ors,jah,"ors,ars,aas,aah,jah",5
asp,grf,"asp,tsp,trp,trf,grf",5
demons,uncake,"demons,lemons,lemans,remans,romans,romane,pomane,pomate,comate,comite,domite,dolite,iolite,iodite,indite,incite,uncite,uncate,uncake",19
not,hie,"not,hot,hit,hie",4
jus,ugh,"jus,aus,ass,ash,ush,ugh",6
prize,minot,"prize,peize,peise,pense,mense,mende,mends,minds,minos,minot",10
burt,cede,"burt,curt,cert,cere,cede",5
mee,utu,"mee,cee,cte,ute,utu",5
spor,wraw,"spor,seor,sear,wear,wean,wran,wraw",7
loun,bail,"loun,boun,baun,bain,bail",5
mudd,ween,"mudd,rudd,redd,reed,weed,ween",6
lye,mbd,"lye,aye,abe,abd,mbd",5
feh,yed,"feh,yeh,yed",3
goy,bad,"goy,boy,bay,bad",4
festine,swinges,"festine,festing,felting,felling,celling,colling,collins,collies,collier,coulier,coulter,soulter,saulter,saunter,stunter,stinter,stinger,swinger,swinges",19
infl,kiss,"infl,intl,inta,anta,ants,aits,kits,kiss",8
pin,gau,"pin,gin,gan,gau",4
ogam,coit,"ogam,olam,clam,clat,coat,coit",6
gum,arc,"gum,aum,arm,arc",4
adad,mund,"adad,acad,scad,saad,maad,mand,mund",7
unshoe,desize,"unshoe,unshot,unsoot,unboot,unbolt,unbelt,unfelt,unfele,unfile,unfine,undine,andine,aedine,medine,meline,deline,delire,desire,desize",19
dier,yabu,"dier,daer,darr,yarr,yaru,yabu",6
sarah,quirt,"sarah,surah,surat,curat,curst,burst,buist,quist,quirt",9
ducs,hake,"ducs,duce,duke,huke,hake",5
kakis,secus,"kakis,rakis,ranis,rants,rents,sents,sects,secus",8
pdn,jeu,"pdn,pen,jen,jeu",4
nones,ribby,"nones,nines,kines,kibes,jibes,jibbs,jibby,ribby",8
park,fard,"park,pard,fard",3
ilth,bldr,"ilth,isth,esth,eath,bath,both,bott,bout,bour,blur,bldr",11
uit,kea,"uit,kit,ket,kea",4
enate,nunki,"enate,elate,blate,blats,beats,bents,bunts,bunks,nunks,nunki",10
vasa,saum,"vasa,sasa,sala,salm,saum",5
cannas,swound,"cannas,mannas,manias,monias,monies,conies,conins,coning,coring,cering,sering,string,strong,strond,stoond,stound,swound",17
maul,baff,"maul,caul,cauf,caff,baff",5
rog,jay,"rog,jog,jag,jay",4
yird,tave,"yird,yard,yare,tare,tave",5
raked,unmix,"raked,rakes,sakes,sales,salet,splet,split,uplit,unlit,unfit,unfix,unmix",12
limit,pecks,"limit,licit,licet,lacet,laces,paces,packs,pecks",8
dourah,swarty,"dourah,douras,dobras,cobras,cobias,colias,colius,coleus,soleus,solvus,solves,soaves,staves,stares,starts,starty,swarty",17
deems,taich,"deems,teems,terms,terns,terne,terse,tarse,taise,taish,taich",10
arius,unbow,"arius,arias,arian,arion,anion,union,undon,undog,unbog,unbow",10
nore,xylo,"nore,bore,bole,bolo,kolo,kylo,xylo",7
exion,mobed,"exion,axion,anion,anton,acton,actor,astor,aster,mster,moter,moted,mobed",12
cfs,lay,"cfs,rfs,ras,las,lay",5
greeve,molman,"greeve,greave,gleave,sleave,sleeve,steeve,sterve,starve,staree,stared,seared,seated,meated,moated,molted,molten,molmen,molman",18
pyre,gory,"pyre,gyre,gore,gory",4
dole,prow,"dole,bole,bold,bood,pood,prod,prow",7
refed,seely,"refed,reded,redes,redds,reeds,seeds,seels,seely",8
svc,pod,"svc,soc,sod,pod",4
syst,clum,"syst,cyst,cast,cask,cauk,caum,clum",7
sasse,cater,"sasse,casse,cassy,casey,caser,cater",6
sud,sip,"sud,sid,sip",3
pci,trt,"pci,sci,sri,tri,trt",5
kabs,ainu,"kabs,kans,kins,ains,ainu",5
annex,corvo,"annex,annet,annat,annas,antas,antes,aotes,cotes,cores,corns,corno,corvo",12
ust,sed,"ust,ast,aet,set,sed",5
kingu,felon,"kingu,kings,kinos,minos,milos,melos,melon,felon",8
pili,chil,"pili,pali,pall,pail,phil,chil",6
hye,tai,"hye,tye,tae,tai",4
piled,aulic,"piled,puled,pules,pulis,puris,auris,auric,aulic",8
uses,love,"uses,oses,opes,opts,oots,lots,lote,love",8
weam,wore,"weam,weak,woak,work,wore",5
bawty,inbye,"bawty,batty,matty,matey,mater,eater,enter,ender,under,undee,undye,uneye,ineye,inbye",14
ifs,ama,"ifs,ids,ads,ada,ama",5
rect,flux,"rect,reet,feet,flet,flex,flux",6
mags,twig,"mags,nags,nais,naig,taig,twig",6
kele,mung,"kele,mele,mene,meng,mung",5
aveny,radii,"aveny,avena,arena,crena,creta,preta,pieta,pitta,patta,patia,patio,ratio,radio,radii",14
untin,fatly,"untin,untie,unlie,unlit,uplit,split,splat,salat,salay,sally,fally,fatly",12
gie,ctg,"gie,cie,cte,ctg",4
roi,lye,"roi,roe,loe,lye",4
jota,elev,"jota,jots,cots,coes,coed,cled,clem,elem,elev",9
where,panse,"where,chere,chese,chuse,cause,pause,panse",7
acy,del,"acy,fcy,fey,dey,del",5
yigh,kmel,"yigh,high,hugh,hugs,hues,kues,kees,keel,kmel",9
butyl,vitra,"butyl,butyn,butin,cutin,cutis,cutes,lutes,lutea,lutra,litra,vitra",11
auh,req,"auh,huh,heh,reh,req",5
apis,sech,"apis,amis,amit,smit,seit,sect,sech",7
cigar,crude,"cigar,cizar,sizar,simar,simas,somas,comas,comps,coups,coupe,coude,crude",12
limous,dikast,"limous,rimous,ramous,famous,favous,favors,savors,savers,sivers,divers,divert,divest,divast,dikast",14
zlote,month,"zlote,clote,cloth,cooth,mooth,month",6
woful,krosa,"woful,wogul,vogul,vogue,bogue,bogie,bowie,bowse,boose,brose,crose,crosa,krosa",13
smerks,yesses,"smerks,smirks,shirks,chirks,charks,chares,chases,ceases,cesses,yesses",10
bake,tock,"bake,take,tace,tack,tock",5
bolti,cinch,"bolti,bolts,colts,coots,cooth,cooch,conch,cinch",8
shore,hutre,"shore,thore,there,tsere,esere,estre,astre,autre,hutre",9
iqs,lsc,"iqs,ids,eds,ess,esc,lsc",6
woks,keno,"woks,wons,wens,kens,keno",5
fyce,lava,"fyce,face,lace,lave,lava",5
bun,dau,"bun,dun,dan,dau",4
fremt,duffy,"fremt,frett,fritt,frits,writs,waits,wafts,waffs,daffs,duffs,duffy",11
smiths,typing,"smiths,smites,smiles,smiled,soiled,moiled,moiles,molles,molies,colies,colins,coling,toling,toping,typing",15
waco,wiwi,"waco,maco,mico,miro,miri,kiri,kiwi,wiwi",8
unau,wags,"unau,unal,anal,anas,aias,bias,baas,bags,wags",9
sat,der,"sat,dat,det,der",4
pun,ait,"pun,pin,ain,ait",4
loaf,pooh,"loaf,loof,poof,pooh",4
ranked,facets,"ranked,ranged,ranges,ranees,rakees,rakers,fakers,facers,facets",9
avoir,dingy,"avoir,avour,anour,anous,annus,ainus,dinus,dings,dingy",9
anc,una,"anc,unc,una",3
sheat,acmes,"sheat,theat,treat,treas,areas,arias,aries,acies,acmes",9
hui,gid,"hui,hud,gud,gid",4
knurs,seels,"knurs,knars,gnars,gears,sears,seers,seels",7
vaw,tur,"vaw,taw,tar,tur",4
sewn,ills,"sewn,sews,sels,eels,ells,ills",6
ips,xiv,"ips,bps,bis,xis,xiv",5
shog,saya,"shog,stog,stoa,stra,sara,saya",6
aix,tng,"aix,dix,dig,tig,tng",5
ezra,coix,"ezra,eyra,lyra,lora,cora,corf,coif,coix",8
paw,joe,"paw,jaw,jow,joe",4
pkt,eld,"pkt,pat,eat,elt,eld",5
basos,arabs,"basos,basts,bests,beats,brats,drats,drabs,arabs",8
peg,dop,"peg,deg,dog,dop",4
frayn,cosie,"frayn,frawn,flawn,flain,elain,elsin,eosin,cosin,cosie",9
causers,crating,"causers,pausers,passers,pasters,pastels,pastils,postils,postins,posting,costing,coating,crating",12
spays,amber,"spays,spaes,spaer,speer,smeer,ameer,amber",7
bulk,sima,"bulk,hulk,hula,hila,hima,sima",6
dazing,jacana,"dazing,fazing,faring,farina,jarina,jarana,jacana",7
rei,qat,"rei,ret,rat,qat",4
hye,vag,"hye,hae,hag,vag",4
rodent,stupid,"rodent,rident,bident,bidens,biders,ciders,coders,cooers,cooees,cooeed,cooped,couped,souped,stuped,stupid",15
drib,sent,"drib,crib,cris,sris,seis,seit,sent",7
truss,whiny,"truss,trass,traps,wraps,whaps,whips,whins,whiny",8
kisang,sieges,"kisang,pisang,pasang,parang,paring,paving,pavins,pavies,pavier,panier,pinier,pinger,singer,sieger,sieges",15
hemina,rotted,"hemina,hemine,hexine,rexine,refine,refile,retile,rutile,ruttle,ruttee,rutted,rotted",12
coxa,airy,"coxa,moxa,mora,mira,aira,airy",6
til,ugh,"til,tit,uit,ugt,ugh",5
isls,blew,"isls,ills,alls,ales,alew,blew",6
poori,webby,"poori,pooli,pooly,booly,booby,bobby,dobby,debby,webby",9
qed,sch,"qed,bed,bcd,bch,sch",5
oie,xis,"oie,cie,cis,xis",4
onfall,sterve,"onfall,infall,inwall,unwall,uncall,uncalk,uncask,uncase,unease,urease,grease,greave,gleave,sleave,sleeve,steeve,sterve",17
hants,soken,"hants,cants,canes,sanes,sones,sokes,soken",7
buddle,leases,"buddle,puddle,puddee,pudder,budder,bedder,beader,leader,leaser,leases",10
lowy,mair,"lowy,lown,mown,mawn,main,mair",6
idee,mele,"idee,idle,bdle,bale,male,mele",6
drooly,cottid,"drooly,droopy,droppy,drippy,grippy,gripey,grapey,graped,craped,crated,coated,cotted,cottid",13
trier,matai,"trier,prier,pryer,payer,mayer,mater,matar,matai",8
mauls,hange,"mauls,gauls,gaurs,gaure,gauge,gange,hange",7
dash,kelp,"dash,hash,hasp,halp,help,kelp",6
suns,pote,"suns,puns,pons,pots,pote",5
hooky,khila,"hooky,cooky,cooly,coaly,coala,koala,koila,khila",8
remint,rarity,"remint,retint,retent,revent,revert,revery,ravery,rakery,rakely,rarely,rarety,rarity",12
pret,uzan,"pret,bret,brat,bran,uran,uzan",6
rev,law,"rev,lev,lav,law",4
sayers,dosing,"sayers,sawers,sowers,sowens,sowins,sowing,dowing,dosing",8
sagy,edhs,"sagy,sags,bags,baas,bras,eras,etas,eths,edhs",9
spruik,rizzer,"spruik,sprunk,sprink,spring,sering,rering,raring,raving,ravins,ravens,ravers,razers,razees,razzes,razzer,rizzer",16
rehash,felloe,"rehash,recash,recast,relast,relist,relict,relics,relies,belies,belles,belled,felled,fellen,fellon,felloe",15
crc,ars,"crc,arc,ars",3
paling,tallol,"paling,poling,coling,colins,colies,holies,holmes,holmos,hollos,hallos,hallow,tallow,tallol",13
tiff,clap,"tiff,toff,coff,coef,clef,clep,clap",7
angara,yelled,"angara,angora,angola,angela,angels,angers,anders,aiders,ciders,coders,cooers,cooees,cooeed,cooled,coiled,ceiled,celled,yelled",18
sire,darn,"sire,dire,dare,darn",4
mau,mix,"mau,max,mix",3
kor,hav,"kor,cor,car,cav,hav",5
dgag,paca,"dgag,diag,ding,ping,pina,pica,paca",7
asia,faut,"asia,alia,alit,flit,fait,faut",6
eggs,boul,"eggs,ergs,eros,bros,boos,bool,boul",7
blase,curry,"blase,blare,glare,glary,guary,gurry,curry",7
secs,aesc,"secs,sess,dess,desc,aesc",5
rawest,impose,"rawest,rarest,carest,caress,carers,caters,eaters,enters,inters,intern,inturn,unturn,unburn,unbury,anbury,ambury,ambery,ambers,embers,embars,embark,imbark,impark,impart,import,impost,impose",27
seak,tups,"seak,seas,seps,sups,tups",5
farmy,mosul,"farmy,formy,foray,moray,moral,morel,mosel,mosul",8
crex,awry,"crex,crax,cray,tray,tway,away,awry",7
preces,cooner,"preces,preses,proses,proser,proker,croker,cooker,cooner",8
mopy,soja,"mopy,mody,sody,soda,soja",5
somner,cartop,"somner,sorner,sorter,porter,parter,parten,parton,carton,cartop",9
lites,labia,"lites,bites,bates,babes,babis,labis,labia",7
huk,ray,"huk,hak,hay,ray",4
exp,peh,"exp,exr,eer,per,peh",5
oathed,tippet,"oathed,bathed,bashed,gashed,gasped,gapped,tapped,tipped,tippet",9
leg,ose,"leg,lig,lie,oie,ose",5
fames,syria,"fames,names,nares,naris,saris,sarip,strip,stria,syria",9
nurly,comfy,"nurly,curly,curby,corby,comby,comfy",6
pav,auh,"pav,pah,aah,auh",4
fec,gre,"fec,fee,gee,gre",4
amp,tun,"amp,alp,aln,tln,tun",5
beice,cadgy,"beice,beige,seige,sedge,wedge,wadge,cadge,cadgy",8
nol,ion,"nol,non,ion",3
guss,loin,"guss,goss,loss,lois,loin",5
cst,eld,"cst,est,elt,eld",4
foh,pip,"foh,poh,pop,pip",4
grogs,doaty,"grogs,frogs,frags,drags,drats,doats,doaty",7
beech,tests,"beech,beeth,beets,bests,tests",5
stuboy,injust,"stuboy,stubby,slubby,slobby,blobby,blowby,blowsy,blowse,browse,drowse,drowsy,drossy,dressy,cressy,creasy,crease,urease,unease,uncase,uncast,uncost,unlost,unlust,unjust,injust",25
bldr,rgen,"bldr,blur,alur,alar,agar,ager,agen,rgen",8
ense,inch,"ense,else,elsa,elia,ilia,inia,inca,inch",8
feel,alba,"feel,feed,fled,flea,alea,alba",6
burao,knowe,"burao,buras,suras,soras,sorts,soots,snots,knots,knows,knowe",10
ethan,cryal,"ethan,ethal,ethel,ether,other,ocher,acher,acier,acies,aries,bries,braes,braws,craws,crawl,craal,cryal",17
pun,cai,"pun,cun,can,cai",4
read,wows,"read,dead,deas,dews,dows,wows",6
refit,batak,"refit,befit,besit,besin,basin,basan,batan,batak",8
sah,mix,"sah,mah,max,mix",4
guao,agre,"guao,gulo,gilo,giro,gire,aire,agre",7
supa,dull,"supa,sula,sull,dull",4
tabby,fanit,"tabby,dabby,darby,darcy,dancy,sancy,sanct,sanit,fanit",9
ava,lox,"ava,ova,oca,lca,loa,lox",6
ureal,hovel,"ureal,urnal,uinal,binal,banal,canal,caval,cavel,havel,hovel",10
borg,elle,"borg,bore,bole,eole,elle",5
defy,kusa,"defy,dely,duly,guly,gula,kula,kusa",7
hia,nib,"hia,dia,dib,nib",4
redden,wargus,"redden,redded,wedded,wedged,sedged,sedges,serges,sarges,sargus,wargus",10
jnt,agt,"jnt,ant,agt",3
futwa,anode,"futwa,fatwa,ratwa,ratha,rathe,rethe,retie,regie,regle,aegle,angle,anole,anode",13
bask,jeez,"bask,bass,jass,jess,jees,jeez",6
feh,git,"feh,fet,get,git",4
pik,caf,"pik,oik,oak,oaf,caf",5
hath,idea,"hath,bath,bate,bale,bdle,idle,idee,idea",8
oda,mis,"oda,ada,ads,ais,mis",5
undear,comism,"undear,undean,andean,andian,indian,indign,indigo,indico,indice,indite,iodite,iodize,ionize,ionise,ionism,monism,momism,comism",18
hoppy,lunel,"hoppy,coppy,copps,corps,cores,lores,lures,lunes,lunel",9
farness,lealand,"farness,fatness,fatless,matless,manless,manness,manners,canners,conners,confers,confess,confest,contest,content,contend,contund,contune,contuse,contise,cottise,sottise,sottish,sootish,soonish,moonish,moodish,goodish,goldish,coldish,coltish,doltish,dollish,dullish,bullish,bullism,ballism,ballist,ballast,ballant,callant,callans,lallans,lalland,layland,leyland,lealand",46
upo,lir,"upo,cpo,clo,clr,cir,lir",6
loot,barm,"loot,boot,bort,bart,barm",5
eses,bump,"eses,eyes,byes,byss,buss,bums,bump",7
vise,intr,"vise,vite,vote,vota,iota,inta,intr",7
reaming,collars,"reaming,roaming,coaming,coaling,colling,colline,colcine,calcine,calcite,calcate,callate,collate,collare,collars",14
mensa,sorel,"mensa,mense,merse,morse,corse,coree,soree,sorel",8
dochter,unsawed,"dochter,dichter,dighter,lighter,lighted,ligated,legated,negated,negater,negator,necator,decator,delator,delater,delayer,belayer,bilayer,billyer,willyer,willier,dillier,dollier,collier,coulier,coulter,counter,chunter,chanter,chaster,chester,chesser,chesses,cresses,creases,ureases,uneases,uncases,uncakes,uncaked,unsaked,unsawed",41
dlr,mao,"dlr,dar,mar,mao",4
lipic,fleta,"lipic,lipid,pipid,piped,pipes,popes,pores,fores,forts,foots,flots,flota,fleta",13
trifa,pilea,"trifa,triga,taiga,tanga,ganga,galga,galea,palea,pilea",9
baltic,conins,"baltic,baltis,beltis,celtis,certis,certes,cortes,contes,conies,conins",10
annet,keten,"annet,innet,inner,inter,enter,eater,eaten,eeten,keten",9
ducs,trub,"ducs,dubs,dabs,dabb,daub,drub,trub",7
wob,usa,"wob,aob,asb,asa,usa",5
blunks,pursed,"blunks,plunks,planks,placks,places,peaces,peases,perses,purses,pursed",10
hyle,neaf,"hyle,hale,half,haaf,heaf,neaf",6
hyps,milo,"hyps,hips,mips,mils,milo",5
engr,sers,"engr,engs,ergs,eris,sris,seis,sers",7
dhooly,costar,"dhooly,drooly,droopy,droppy,drippy,grippy,gripey,grapey,graped,craped,crated,coated,costed,coster,costar",15
cdg,abr,"cdg,cig,cir,air,abr",5
upbar,grewt,"upbar,unbar,untar,antar,artar,arear,aread,cread,creat,great,grewt",11
tamine,wastry,"tamine,famine,farine,ferine,verine,venine,venene,venere,venery,vinery,vintry,kintry,kantry,pantry,pastry,wastry",16
ofo,eye,"ofo,ufo,uro,ure,ere,eye",6
dona,buck,"dona,bona,buna,bunk,buck",5
nub,amt,"nub,fub,fut,fmt,amt",5
gay,mgt,"gay,may,mat,mgt",4
sues,swow,"sues,shes,shew,show,swow",5
unal,drey,"unal,ural,eral,erat,drat,dray,drey",7
roads,prows,"roads,roods,poods,prods,prows",5
undeft,blashy,"undeft,unleft,unlent,untent,intent,intens,inters,enters,eaters,caters,capers,copers,comers,comets,compts,coapts,coasts,boasts,blasts,blasty,blashy",21
saga,caph,"saga,sapa,capa,caph",4
suq,zea,"suq,seq,sea,zea",4
dooms,flche,"dooms,looms,looks,locks,lochs,loche,moche,miche,fiche,flche",10
embolo,palmin,"embolo,embole,embale,empale,empall,emparl,empark,embark,embars,embers,ambers,ambery,ambury,anbury,unbury,unburn,unturn,inturn,intern,inters,enters,eaters,caters,cavers,lavers,levers,levees,levies,bevies,belies,belles,bellis,beltis,baltis,baltic,balaic,palaic,palmic,palmin",39
dingier,gingery,"dingier,mingier,mangier,mangler,mangles,mangoes,mongoes,congoes,congees,congers,longers,lingers,gingers,gingery",14
fud,auf,"fud,aud,auf",3
yoghs,siafu,"yoghs,yogis,logis,louis,lours,sours,soars,scars,scarf,scaff,snaff,snafu,siafu",13
aff,loe,"aff,eff,eof,lof,loe",5
ban,ist,"ban,ian,isn,ist",4
coala,awalt,"coala,coals,coils,toils,tails,tains,twins,twint,twant,twalt,awalt",11
dixy,babu,"dixy,mixy,miry,mary,maru,baru,babu",7
scawl,pilar,"scawl,spawl,spail,spaid,spaad,splad,salad,salar,palar,pilar",10
tae,guz,"tae,gae,gue,guz",4
ale,huk,"ale,alk,auk,huk",4
tck,hel,"tck,ack,act,aet,het,hel",6
fow,kif,"fow,low,lof,lif,kif",5
lacert,fixage,"lacert,lacers,facers,farers,carers,carets,carats,carate,parate,pirate,pilate,filate,fixate,fixage",14
tump,raze,"tump,rump,ramp,rame,raze",5
dossils,purgers,"dossils,dossels,dossers,tossers,tussers,cussers,cursers,pursers,purgers",9
theol,feued,"theol,sheol,sheel,speel,speed,spued,slued,flued,feued",9
nay,aro,"nay,cay,cry,ary,aro",5
spot,alts,"spot,slot,blot,blat,blas,alas,alts",7
foh,top,"foh,fop,top",3
yuke,raif,"yuke,yule,rule,rale,ralf,raif",6
unken,types,"unken,inken,inker,inter,enter,eater,tater,taper,typer,types",10
mazers,aliner,"mazers,hazers,hayers,sayers,shyers,shiers,shirrs,shires,shines,chines,clines,alines,aliner",13
day,oda,"day,dry,ory,ora,oda",5
wen,qtr,"wen,cen,ctn,ctr,qtr",5
yay,sri,"yay,say,sai,sri",4
brizz,sutta,"brizz,blizz,blitz,blite,boite,botte,butte,gutte,gutta,sutta",10
auld,roti,"auld,guld,gold,hold,holi,hoti,roti",7
tchu,homo,"tchu,ichu,icho,scho,soho,hoho,homo",7
pape,oats,"pape,pate,pats,oats",4
wafer,pheal,"wafer,safer,sayer,shyer,sheer,shear,sheal,pheal",8
care,move,"care,mare,more,move",4
fat,toy,"fat,tat,tot,toy",4
sawt,coan,"sawt,sowt,mowt,moat,coat,coan",6
ake,adj,"ake,ade,adj",3
pfg,kim,"pfg,pig,pim,kim",4
zax,zep,"zax,zap,zep",3
falk,mity,"falk,balk,bilk,milk,mink,miny,mity",7
git,gre,"git,gie,gre",3
liven,trues,"liven,liken,lyken,tyken,tykes,tyees,trees,trues",8
wap,ugh,"wap,bap,bah,bsh,ush,ugh",6
gob,got,"gob,got",2
nocks,amice,"nocks,bocks,books,boots,blots,blote,blite,alite,alice,amice",10
hods,wiwi,"hods,hors,kors,kori,kiri,kiwi,wiwi",7
ore,roi,"ore,cre,coe,roe,roi",5
pip,hob,"pip,hip,hop,hob",4
dizz,scap,"dizz,sizz,sitz,sita,sata,satd,sctd,scad,scap",9
pie,jig,"pie,pig,jig",3
danize,slided,"danize,danite,tanite,talite,salite,splite,splits,spaits,spails,spalls,spills,spiles,spices,slices,slides,slided",16
beflag,shivas,"beflag,beflap,beslap,beslab,bestab,bestar,bester,rester,reiter,reiner,seiner,shiner,shiver,shives,shivas",15
smeth,jolty,"smeth,smith,saith,baith,brith,broth,booth,booty,bolty,jolty",10
